id,margin,reagan,mondale,hall,other,hex_color
13019,17.84%, 58.92%, 41.08%,-,0.0%,960068
13021,4.46%, 47.77%, 52.23%,-,0.0%,790085
13023,13.24%, 56.62%, 43.38%,-,0.0%,90006e
13025,5.07%, 52.53%, 47.47%,-,0.0%,850079
13027,14.60%, 57.30%, 42.70%,-,0.0%,92006c
13029,23.67%, 61.83%, 38.17%,-,0.0%,9d0061
13031,25.34%, 62.67%, 37.33%,-,0.0%,9f005f
13033,0.16%, 50.08%, 49.92%,-,0.0%,7f007f
13035,8.10%, 54.05%, 45.95%,-,0.0%,890075
13037,16.24%, 41.88%, 58.12%,-,0.0%,6a0094
13039,13.53%, 56.76%, 43.24%,-,0.0%,90006e
13043,19.24%, 59.62%, 40.38%,-,0.0%,980066
13045,34.34%, 67.17%, 32.83%,-,0.0%,ab0053
13047,43.82%, 71.91%, 28.09%,-,0.0%,b70047
13049,10.37%, 55.18%, 44.82%,-,0.0%,8c0072
13051,15.30%, 57.65%, 42.35%,-,0.0%,93006b
13053,3.49%, 51.75%, 48.25%,-,0.0%,83007b
13055,6.82%, 53.41%, 46.59%,-,0.0%,880076
13057,52.22%, 76.11%, 23.89%,-,0.0%,c2003c
13059,6.34%, 53.17%, 46.83%,-,0.0%,870077
13061,28.31%, 35.84%, 64.16%,-,0.0%,5b00a3
13063,45.69%, 72.84%, 27.16%,-,0.0%,b90045
13065,15.94%, 57.97%, 42.03%,-,0.0%,93006b
13067,54.84%, 77.42%, 22.58%,-,0.0%,c50039
13069,22.93%, 61.47%, 38.53%,-,0.0%,9c0062
13071,28.89%, 64.45%, 35.55%,-,0.0%,a4005a
13073,53.47%, 76.74%, 23.26%,-,0.0%,c3003b
13075,10.39%, 55.19%, 44.81%,-,0.0%,8c0072
13077,37.24%, 68.62%, 31.38%,-,0.0%,ae0050
13079,4.59%, 47.70%, 52.30%,-,0.0%,790085
13081,15.27%, 57.63%, 42.37%,-,0.0%,92006c
13083,41.03%, 70.51%, 29.49%,-,0.0%,b3004b
13085,34.55%, 67.28%, 32.72%,-,0.0%,ab0053
13087,21.77%, 60.88%, 39.12%,-,0.0%,9b0063
