id,margin,dole,clinton,perot,nader,other,hex_color
12023,5.49%, 46.48%, 40.98%, 12.07%,-,12.540000000000006%,761f68
12027,0.71%, 43.71%, 43.01%, 12.89%,-,13.280000000000001%,6f216d
12029,8.82%, 36.82%, 45.63%, 17.18%,-,17.549999999999997%,5d2c74
12031,5.76%, 49.96%, 44.20%, 5.45%,-,5.840000000000003%,7f0e70
12033,21.46%, 56.52%, 35.06%, 7.97%,-,8.419999999999987%,901559
12035,6.73%, 41.01%, 47.74%, 10.88%,-,11.25%,681c79
12037,11.66%, 34.20%, 45.86%, 19.21%,-,19.939999999999998%,573274
12039,39.37%, 26.88%, 66.25%, 6.61%,-,6.8700000000000045%,4411a8
12041,0.96%, 40.44%, 41.40%, 17.54%,-,18.159999999999997%,672e69
12043,4.93%, 39.67%, 44.59%, 15.19%,-,15.739999999999995%,652871
12045,0.83%, 40.55%, 41.39%, 17.59%,-,18.060000000000002%,672e69
12047,5.85%, 41.38%, 47.24%, 11.05%,-,11.379999999999995%,691d78
12049,8.23%, 47.18%, 38.95%, 13.71%,-,13.870000000000005%,782363
12051,0.34%, 43.32%, 43.66%, 12.75%,-,13.02000000000001%,6e216f
12053,11.16%, 37.97%, 49.12%, 12.52%,-,12.909999999999997%,60207d
12055,4.05%, 46.32%, 42.27%, 11.09%,-,11.409999999999997%,761d6b
